,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,rightankle leftankle,rightankle rightknee,rightankle leftknee,rightankle righthip,rightankle lefthip,rightankle rightshoulder,rightankle leftshoulder,leftankle rightknee,leftankle leftknee,leftankle righthip,leftankle lefthip,leftankle rightshoulder,leftankle leftshoulder,rightknee leftknee,rightknee righthip,rightknee lefthip,rightknee rightshoulder,rightknee leftshoulder,leftknee righthip,leftknee lefthip,leftknee rightshoulder,leftknee leftshoulder,righthip lefthip,righthip rightshoulder,righthip leftshoulder,lefthip rightshoulder,lefthip leftshoulder,rightshoulder leftshoulder,curve
49,139.77,147.32,176.89,175.19,139.93,158.94,0.77,134.64,20590.916400000002,24723.9153,24486.3063,19558.0161,22215.043800000003,107.62290000000002,18818.6328,26059.434799999995,25808.9908,20614.4876,23415.0408,113.43639999999999,19835.1648,30989.359099999998,24752.2177,28114.896599999996,136.2053,23816.469599999997,24514.3367,27844.6986,134.8963,23587.581599999998,22240.4742,107.74610000000001,18840.175199999998,122.38380000000001,21399.681599999996,103.6728,1
50,155.02,161.52,174.89,170.14,146.74,150.8,7.79,3.75,25038.830400000003,27111.447799999998,26375.1028,22747.634800000003,23377.016000000003,1207.6058,581.325,28248.232799999998,27481.0128,23701.444800000005,24357.216000000004,1258.2408,605.7,29755.784599999995,25663.3586,26373.412,1362.3931,655.8375,24966.3436,25657.112,1325.3906,638.025,22128.392000000003,1143.1046000000001,550.2750000000001,1174.7320000000002,565.5,29.2125,1
51,141.39,152.16,168.53,174.76,135.64,153.33,16.06,128.58,21513.9024,23828.4567,24709.316399999996,19178.139599999995,21679.3287,2270.7233999999994,18179.9262,25643.5248,26591.4816,20638.982399999997,23330.6928,2443.6895999999997,19564.7328,29452.302799999998,22859.4092,25840.7049,2706.5917999999997,21669.587400000004,23704.446399999997,26795.950800000002,2806.6456,22470.6408,20797.6812,2178.3783999999996,17440.5912,2462.4798,19715.171400000003,2064.9948,1
52,131.82,152.44,167.12,166.37,149.14,151.07,4.69,11.9,20094.640799999997,22029.7584,21930.8934,19659.634799999996,19914.0474,618.2358,1568.658,25475.7728,25361.4428,22734.901599999997,23029.1108,714.9436000000001,1814.036,27803.7544,24924.2768,25246.8184,783.7928,1988.728,24812.4218,25133.5159,780.2753000000001,1979.803,22530.579799999996,699.4666,1774.7659999999998,708.5183000000001,1797.733,55.81100000000001,1
53,147.23,122.19,177.18,158.37,136.36,153.2,29.81,25.68,17990.0337,26086.2114,23316.8151,20076.2828,22555.635999999995,4388.926299999999,3780.8664,21649.624200000002,19351.2303,16661.828400000002,18719.507999999998,3642.4838999999997,3137.8392,28059.996600000002,24160.264800000004,27143.976,5281.7358,4549.9824,21595.333200000005,24262.284,4721.0097,4066.9416,20890.352,4064.8916000000004,3501.7248000000004,4566.892,3934.1759999999995,765.5208,1
54,158.21,174.5,174.44,173.53,148.91,166.17,24.3,89.27,27607.645,27598.152400000003,27454.1813,23559.0511,26289.755699999998,3844.503,14123.4067,30439.78,30280.985,25984.795,28996.664999999997,4240.35,15577.615,30270.5732,25975.860399999998,28986.694799999997,4238.892,15572.2588,25840.3523,28835.480099999997,4216.779,15491.023099999999,24744.374699999997,3618.513,13293.195699999998,4037.931,14833.995899999998,2169.261,1
55,142.21,169.09,178.18,170.41,150.64,167.87,27.22,62.17,24046.288900000003,25338.9778,24234.006100000002,21422.5144,23872.7927,3870.9562,8841.1957,30128.4562,28814.6269,25471.7176,28385.138300000002,4602.6298,10512.3253,30363.6538,26841.0352,29911.0766,4850.0596,11077.4506,25670.5624,28606.7267,4638.5602,10594.3897,25287.9368,4100.4208,9365.2888,4569.4214,10436.4779,1692.2674,1
56,179.0,139.76,160.82,165.79,147.61,178.09,22.22,79.73,25017.039999999997,28786.78,29676.41,26422.190000000002,31878.11,3977.3799999999997,14271.67,22476.203199999996,23170.8104,20629.9736,24889.858399999997,3105.4671999999996,11143.0648,26662.347799999996,23738.6402,28640.4338,3573.4203999999995,12822.1786,24472.2619,29525.5411,3683.8537999999994,13218.4367,26287.864900000004,3279.8942,11768.945300000001,3957.1598,14199.1157,1771.6006,1
57,147.19,107.5,162.54,172.57,143.66,125.96,34.73,56.39,15822.925,23924.2626,25400.578299999997,21145.3154,18540.0524,5111.908699999999,8300.0441,17473.05,18551.274999999998,15443.449999999999,13540.699999999999,3733.4749999999995,6061.925,28049.527799999996,23350.4964,20473.538399999998,5645.0142,9165.6306,24791.406199999998,21736.9172,5993.356099999999,9731.2223,18095.4136,4989.3117999999995,8100.9874,4374.590799999999,7102.8844,1958.4246999999998,1
58,149.44,179.02,119.7,166.31,128.21,140.81,26.15,82.48,26752.7488,17887.968,24853.3664,19159.702400000002,21042.6464,3907.8559999999998,12325.8112,21428.694000000003,29772.8162,22952.154200000004,25207.806200000003,4681.373,14765.5696,19907.307,15346.737000000001,16854.957000000002,3130.1549999999997,9872.856000000002,21322.6051,23418.111100000002,4349.0064999999995,13717.248800000001,18053.2501,3352.6915,10574.760800000002,3682.1814999999997,11614.008800000001,2156.852,1
59,172.46,169.95,173.23,179.52,144.59,163.85,16.55,36.28,29309.577,29875.2458,30960.019200000002,24935.991400000003,28257.571,2854.213,6256.848800000001,29440.438499999997,30509.424,24573.070499999998,27846.3075,2812.6725,6165.786,31098.2496,25047.325699999998,28383.7355,2866.9565,6284.7844,25956.796800000004,29414.352,2971.0560000000005,6512.985600000001,23691.0715,2392.9645,5245.7252,2711.7175,5944.478,600.4340000000001,1
