,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,curve
87,173.03,176.23,173.3,176.72,176.64,175.55,14.17,12.57,0
88,175.55,141.62,178.53,178.81,160.75,175.37,1.25,49.3,0
89,117.42,154.1,162.68,160.99,140.05,144.18,4.77,42.29,0
90,89.54,103.3,157.66,168.24,137.01,158.83,7.92,26.03,0
91,80.85,83.7,149.2,172.19,143.58,170.78,4.55,21.46,0
92,107.66,145.05,160.61,179.12,144.66,172.47,16.69,29.39,0
93,107.1,149.23,160.29,178.68,144.51,172.61,16.68,29.51,0
94,170.88,158.15,178.34,178.96,159.08,175.99,0.05,74.7,0
95,104.99,91.73,160.5,154.22,138.3,137.44,6.14,24.13,0
96,136.47,113.53,177.98,160.7,138.49,142.05,6.37,45.67,0
97,104.4,113.64,167.84,161.95,142.65,142.65,6.79,10.4,0
98,110.59,125.9,169.68,170.68,144.34,154.58,15.08,69.95,0
99,121.57,119.51,146.7,150.01,141.73,147.1,9.67,34.4,0
100,120.51,111.99,147.37,153.39,142.36,148.63,7.93,32.89,0
101,122.78,146.95,168.95,174.33,145.09,154.64,15.26,75.18,0
102,142.58,143.22,171.43,164.85,145.06,149.95,12.59,66.59,0
103,174.39,178.09,166.72,179.29,143.45,161.19,16.16,90.22,0
104,104.74,126.42,144.31,169.39,134.63,160.56,4.38,22.2,0
105,102.09,131.23,164.54,167.35,134.25,146.18,5.09,77.25,0
106,103.41,139.3,164.73,167.57,134.54,146.14,4.8,76.88,0
107,110.76,133.29,157.3,158.28,150.24,158.52,1.04,25.98,0
108,110.17,144.03,168.14,161.85,141.88,150.35,0.81,24.06,0
109,94.69,108.51,163.1,150.06,131.06,140.97,1.7,3.05,0
110,118.75,137.7,147.1,161.07,135.01,155.09,2.06,40.34,0
111,117.21,153.47,157.34,165.96,138.07,153.69,6.82,34.84,0
112,121.05,151.53,160.39,158.73,142.44,150.65,3.12,28.14,0
113,120.24,147.66,159.03,160.05,141.08,152.07,3.35,27.75,0
114,112.36,120.05,156.28,164.9,148.22,159.24,5.47,31.34,0
115,162.9,173.47,171.26,178.67,145.35,160.37,2.52,108.53,0
116,107.75,129.86,171.31,158.69,145.64,152.61,3.33,34.81,0
117,160.64,169.54,171.45,178.79,149.84,161.61,4.6,95.17,0
118,161.72,168.71,171.67,179.05,149.6,161.04,6.26,95.21,0
119,164.16,172.49,178.61,178.88,155.45,161.59,11.95,91.1,0
120,155.22,177.67,174.63,176.47,149.87,160.03,3.06,113.57,0
121,162.53,174.93,171.3,176.23,146.0,157.66,5.53,97.32,0
122,136.88,127.7,167.07,160.2,148.36,151.94,21.83,69.93,0
123,132.45,140.3,167.89,164.38,145.68,152.41,18.65,80.55,0
124,161.73,173.42,166.33,174.36,151.27,161.01,16.94,69.16,0
125,157.78,152.84,165.57,173.4,151.11,161.96,20.26,66.84,0
126,101.96,107.63,162.36,155.82,145.43,155.15,1.06,35.91,0
127,139.85,140.97,154.33,139.62,130.29,130.53,5.21,35.26,0
128,112.79,135.49,127.18,147.53,115.74,138.63,3.96,39.95,0
129,110.97,128.63,170.81,169.07,146.67,155.91,21.5,82.83,0
130,120.58,140.15,130.52,142.03,119.98,138.53,2.29,56.82,0
131,118.55,137.39,128.65,140.4,118.1,136.61,2.99,58.57,0
132,95.7,115.23,152.99,165.58,140.42,158.71,12.61,23.34,0
133,133.91,102.5,138.13,170.26,128.73,158.41,0.02,18.93,0
134,112.01,111.58,146.83,143.98,134.98,152.45,1.98,16.22,0
135,100.99,116.33,165.18,177.98,148.76,169.56,25.16,34.84,0
136,123.59,125.17,143.03,175.9,134.54,168.25,12.9,31.99,0
137,129.3,125.25,148.42,148.43,136.94,149.95,3.78,12.56,0
138,113.34,128.69,149.08,146.32,137.01,146.76,0.54,11.54,0
139,86.42,106.52,135.56,163.05,136.04,165.35,3.72,21.8,0
140,132.82,127.81,167.21,154.73,149.75,144.62,7.61,21.71,0
141,122.03,117.99,139.77,162.23,135.55,161.85,1.75,15.99,0
